time_s,v_in_small_v,v_out_small_v,v_in_large_v,v_out_large_v
4.250000e-3,1.000000e-1,1.829669e-2,2.000000e0,2.295313e0
4.257813e-3,9.987955e-2,2.019202e-2,1.997591e0,2.397224e0
4.265625e-3,9.951847e-2,2.204209e-2,1.990369e0,2.286060e0
4.273438e-3,9.891765e-2,2.384370e-2,1.978353e0,2.044276e0
4.281250e-3,9.807853e-2,2.559063e-2,1.961571e0,1.855963e0
4.289063e-3,9.700313e-2,2.726165e-2,1.940063e0,1.848649e0
4.296875e-3,9.569403e-2,2.887135e-2,1.913881e0,2.007418e0
4.304688e-3,9.415441e-2,3.041698e-2,1.883088e0,2.214407e0
4.312500e-3,9.238795e-2,3.189585e-2,1.847759e0,2.307500e0
4.320313e-3,9.039893e-2,3.328896e-2,1.807979e0,2.236966e0
4.328125e-3,8.819213e-2,3.459536e-2,1.763843e0,2.048104e0
4.335938e-3,8.577286e-2,3.582472e-2,1.715457e0,1.884538e0
4.343750e-3,8.314696e-2,3.697492e-2,1.662939e0,1.854459e0
4.351563e-3,8.032075e-2,3.804394e-2,1.606415e0,1.959577e0
4.359375e-3,7.730105e-2,3.899617e-2,1.546021e0,2.118254e0
4.367188e-3,7.409511e-2,3.986135e-2,1.481902e0,2.199098e0
4.375000e-3,7.071068e-2,4.063822e-2,1.414214e0,2.149384e0
4.382812e-3,6.715590e-2,4.132542e-2,1.343118e0,1.997189e0
4.390625e-3,6.343933e-2,4.190636e-2,1.268787e0,1.849568e0
4.398437e-3,5.956993e-2,4.237364e-2,1.191399e0,1.802496e0
4.406250e-3,5.555702e-2,4.274701e-2,1.111140e0,1.862936e0
4.414062e-3,5.141027e-2,4.302586e-2,1.028205e0,1.976626e0
4.421875e-3,4.713967e-2,4.320965e-2,9.427935e-1,2.039324e0
4.429687e-3,4.275551e-2,4.326622e-2,8.551102e-1,1.999977e0
4.437500e-3,3.826834e-2,4.322158e-2,7.653669e-1,1.872675e0
4.445312e-3,3.368899e-2,4.308140e-2,6.737797e-1,1.737512e0
4.453125e-3,2.902847e-2,4.284589e-2,5.805694e-1,1.674767e0
4.460937e-3,2.429802e-2,4.250513e-2,4.859604e-1,1.699537e0
4.468750e-3,1.950903e-2,4.204420e-2,3.901806e-1,1.773186e0
4.476562e-3,1.467305e-2,4.149055e-2,2.934609e-1,1.817044e0
4.484375e-3,9.801714e-3,4.084517e-2,1.960343e-1,1.776943e0
4.492187e-3,4.906767e-3,4.010916e-2,9.813535e-2,1.668587e0
4.500000e-3,1.102182e-16,3.925983e-2,2.204364e-15,1.541570e0
4.507812e-3,-4.906767e-3,3.831434e-2,-9.813535e-2,1.466974e0
4.515625e-3,-9.801714e-3,3.728444e-2,-1.960343e-1,1.463742e0
4.523437e-3,-1.467305e-2,3.617193e-2,-2.934609e-1,1.502539e0
4.531250e-3,-1.950903e-2,3.497451e-2,-3.901806e-1,1.525870e0
4.539062e-3,-2.429802e-2,3.367405e-2,-4.859604e-1,1.488956e0
4.546875e-3,-2.902847e-2,3.229993e-2,-5.805694e-1,1.389276e0
4.554687e-3,-3.368899e-2,3.085456e-2,-6.737797e-1,1.270846e0
4.562500e-3,-3.826834e-2,2.934043e-2,-7.653669e-1,1.188418e0
4.570312e-3,-4.275551e-2,2.774670e-2,-8.551102e-1,1.161312e0
4.578125e-3,-4.713967e-2,2.608206e-2,-9.427935e-1,1.174367e0
4.585937e-3,-5.141027e-2,2.436043e-2,-1.028205e0,1.179884e0
4.593750e-3,-5.555702e-2,2.258482e-2,-1.111140e0,1.138928e0
4.601562e-3,-5.956993e-2,2.075827e-2,-1.191399e0,1.050465e0
4.609375e-3,-6.343933e-2,1.886823e-2,-1.268787e0,9.407611e-1
4.617187e-3,-6.715590e-2,1.693772e-2,-1.343118e0,8.541494e-1
4.625000e-3,-7.071068e-2,1.497019e-2,-1.414214e0,8.141415e-1
4.632812e-3,-7.409511e-2,1.296905e-2,-1.481902e0,8.071689e-1
4.640625e-3,-7.730105e-2,1.093386e-2,-1.546021e0,7.997366e-1
4.648437e-3,-8.032075e-2,8.869986e-3,-1.606415e0,7.589108e-1
4.656250e-3,-8.314696e-2,6.787567e-3,-1.662939e0,6.777082e-1
4.664062e-3,-8.577286e-2,4.690223e-3,-1.715457e0,5.780554e-1
4.671875e-3,-8.819213e-2,2.581586e-3,-1.763843e0,4.941129e-1
4.679687e-3,-9.039893e-2,4.654239e-4,-1.807979e0,4.466767e-1
4.687500e-3,-9.238795e-2,-1.650362e-3,-1.847759e0,4.281836e-1
4.695312e-3,-9.415441e-2,-3.761779e-3,-1.883088e0,4.131207e-1
4.703125e-3,-9.569403e-2,-5.865162e-3,-1.913881e0,3.733397e-1
4.710937e-3,-9.700313e-2,-7.954854e-3,-1.940063e0,3.017329e-1
4.718750e-3,-9.807853e-2,-1.002116e-2,-1.961571e0,2.143702e-1
4.726562e-3,-9.891765e-2,-1.206398e-2,-1.978353e0,1.378939e-1
4.734375e-3,-9.951847e-2,-1.407976e-2,-1.990369e0,9.016194e-2
4.742187e-3,-9.987955e-2,-1.606501e-2,-1.997591e0,6.797350e-2
4.750000e-3,-1.000000e-1,-1.800489e-2,-2.000000e0,5.034779e-2
4.757812e-3,-9.987955e-2,-1.989909e-2,-1.997591e0,1.502304e-2
4.765625e-3,-9.951847e-2,-2.174836e-2,-1.990369e0,-4.327991e-2
4.773437e-3,-9.891765e-2,-2.354949e-2,-1.978353e0,-1.155508e-1
4.781250e-3,-9.807853e-2,-2.529629e-2,-1.961571e0,-1.808474e-1
4.789062e-3,-9.700313e-2,-2.696761e-2,-1.940063e0,-2.230453e-1
4.796875e-3,-9.569403e-2,-2.857793e-2,-1.913881e0,-2.438667e-1
4.804687e-3,-9.415441e-2,-3.012447e-2,-1.883088e0,-2.578778e-1
4.812500e-3,-9.238795e-2,-3.160455e-2,-1.847759e0,-2.833703e-1
4.820312e-3,-9.039893e-2,-3.299919e-2,-1.807979e0,-3.272084e-1
4.828125e-3,-8.819213e-2,-3.430741e-2,-1.763843e0,-3.816669e-1
4.835937e-3,-8.577286e-2,-3.553882e-2,-1.715457e0,-4.319844e-1
4.843750e-3,-8.314696e-2,-3.669128e-2,-1.662939e0,-4.640170e-1
4.851562e-3,-8.032075e-2,-3.776274e-2,-1.606415e0,-4.787424e-1
4.859375e-3,-7.730105e-2,-3.871763e-2,-1.546021e0,-4.848509e-1
4.867187e-3,-7.409511e-2,-3.958560e-2,-1.481902e0,-4.978192e-1
4.875000e-3,-7.071068e-2,-4.036537e-2,-1.414214e0,-5.247119e-1
4.882812e-3,-6.715590e-2,-4.105556e-2,-1.343118e0,-5.605882e-1
4.890625e-3,-6.343933e-2,-4.163956e-2,-1.268787e0,-5.937898e-1
4.898438e-3,-5.956993e-2,-4.210996e-2,-1.191399e0,-6.126257e-1
4.906250e-3,-5.555702e-2,-4.248645e-2,-1.111140e0,-6.166005e-1
4.914063e-3,-5.141027e-2,-4.276842e-2,-1.028205e0,-6.119473e-1
4.921875e-3,-4.713967e-2,-4.295531e-2,-9.427935e-1,-6.113265e-1
4.929688e-3,-4.275551e-2,-4.301491e-2,-8.551102e-1,-6.202611e-1
4.937500e-3,-3.826834e-2,-4.297323e-2,-7.653669e-1,-6.373198e-1
4.945313e-3,-3.368899e-2,-4.283591e-2,-6.737797e-1,-6.525816e-1
4.953125e-3,-2.902847e-2,-4.260317e-2,-5.805694e-1,-6.566431e-1
4.960938e-3,-2.429802e-2,-4.226503e-2,-4.859604e-1,-6.480223e-1
4.968750e-3,-1.950903e-2,-4.180654e-2,-3.901806e-1,-6.313953e-1
4.976563e-3,-1.467305e-2,-4.125515e-2,-2.934609e-1,-6.164154e-1
4.984375e-3,-9.801714e-3,-4.061366e-2,-1.960343e-1,-6.081176e-1
4.992188e-3,-4.906767e-3,-3.987390e-2,-9.813535e-2,-6.006265e-1
5.000000e-3,-1.224647e-16,-3.904037e-2,-2.449294e-15,-5.595351e-1
